iter	Passed	Remaining
0	69	69174
1	80	40171
2	90	30165
3	101	25225
4	111	22261
5	122	20282
6	133	18973
7	144	17867
8	154	17033
9	165	16355
10	175	15802
11	186	15352
12	197	14963
13	208	14663
14	217	14309
15	227	13996
16	237	13753
17	248	13539
18	258	13370
19	268	13162
20	278	13002
21	289	12847
22	299	12741
23	310	12607
24	320	12496
25	331	12403
26	340	12277
27	351	12213
28	361	12097
29	382	12365
30	401	12549
31	413	12505
32	424	12428
33	433	12329
34	443	12236
35	453	12140
36	463	12073
37	473	11999
38	483	11916
39	493	11854
40	504	11790
41	513	11720
42	523	11654
43	533	11581
44	543	11527
45	553	11470
46	563	11426
47	573	11383
48	584	11337
49	594	11292
50	604	11239
51	613	11179
52	622	11121
53	631	11069
54	640	11012
55	650	10971
56	660	10933
57	671	10898
58	681	10863
59	690	10820
60	700	10790
61	710	10751
62	720	10720
63	731	10690
64	741	10659
65	750	10627
66	759	10581
67	771	10568
68	781	10540
69	791	10516
70	798	10443
71	808	10417
72	818	10394
73	828	10366
74	838	10338
75	848	10314
76	858	10286
77	867	10254
78	877	10228
79	887	10209
80	897	10185
81	907	10163
82	917	10134
83	927	10113
84	937	10091
85	947	10069
86	957	10046
87	967	10023
88	976	9998
89	986	9973
90	995	9947
91	1005	9922
92	1015	9902
93	1025	9882
94	1035	9867
95	1045	9849
96	1055	9825
97	1065	9804
98	1075	9787
99	1085	9768
100	1096	9757
101	1105	9734
102	1116	9724
103	1125	9698
104	1135	9681
105	1146	9666
106	1155	9642
107	1164	9616
108	1174	9600
109	1184	9580
110	1193	9562
111	1203	9540
112	1212	9521
113	1223	9507
114	1233	9490
115	1242	9469
116	1252	9451
117	1262	9436
118	1273	9426
119	1284	9416
120	1294	9403
121	1304	9385
122	1313	9365
123	1323	9346
124	1333	9333
125	1343	9318
126	1353	9301
127	1362	9285
128	1372	9265
129	1382	9251
130	1392	9239
131	1403	9225
132	1413	9212
133	1423	9196
134	1432	9177
135	1441	9159
136	1451	9143
137	1461	9128
138	1470	9109
139	1480	9095
140	1490	9080
141	1498	9055
142	1508	9042
143	1519	9032
144	1529	9018
145	1539	9005
146	1549	8991
147	1559	8976
148	1569	8961
149	1578	8946
150	1588	8933
151	1598	8916
152	1607	8901
153	1617	8886
154	1627	8870
155	1637	8856
156	1646	8841
157	1656	8826
158	1665	8810
159	1675	8798
160	1686	8786
161	1696	8773
162	1706	8762
163	1716	8750
164	1726	8739
165	1736	8722
166	1744	8703
167	1755	8692
168	1764	8678
169	1775	8669
170	1785	8657
171	1797	8654
172	1807	8640
