iter	RMSE
0	0.4206328969
1	0.4154578615
2	0.4135041766
3	0.4128950953
4	0.4123991448
5	0.4120517947
6	0.4117851582
7	0.4115913267
8	0.4114129842
9	0.411264375
10	0.4111648013
11	0.4110771781
12	0.4109821018
13	0.4108946434
14	0.4108098814
15	0.4107455929
16	0.4106766097
17	0.4106093155
18	0.4105521082
19	0.4105122949
20	0.4104810815
21	0.410460501
22	0.4104066179
23	0.4103679096
24	0.4102628518
25	0.4102290791
26	0.4101762878
27	0.4101343325
28	0.4100838716
29	0.4099945458
30	0.4099065651
31	0.4098283677
32	0.4097955928
33	0.4097568656
34	0.4096851571
35	0.4096519749
36	0.4095810397
37	0.409496721
38	0.4094461809
39	0.4093969005
40	0.4093181644
41	0.4093054165
42	0.4092573129
43	0.4092223715
44	0.4092106397
45	0.4091553487
46	0.4091006275
47	0.4090679502
48	0.4090111478
49	0.4089403828
50	0.4088838886
51	0.4088481897
52	0.4088212147
53	0.4087794281
54	0.4087393779
55	0.4086771843
56	0.4086476312
57	0.4086148259
58	0.4086130262
59	0.4085798946
60	0.4085785058
61	0.4085381445
62	0.4085290673
63	0.4085156488
64	0.4084558433
65	0.4084225695
66	0.4083753274
67	0.4083373365
68	0.4083084478
69	0.4082728134
70	0.4082325035
71	0.4081839067
72	0.4081477069
73	0.4081187023
74	0.4081054165
75	0.4080647783
76	0.4080273238
77	0.4080037654
78	0.4079852509
79	0.4079501906
80	0.4079250375
81	0.4078741897
82	0.4078408928
83	0.4078055167
84	0.4077745264
85	0.4077455088
86	0.4076984707
87	0.4076974428
88	0.4076813689
89	0.4076553791
90	0.4076209417
91	0.407580328
92	0.4075501009
93	0.4075340801
94	0.4075013034
95	0.4074747083
96	0.4074063441
97	0.4073980231
98	0.407387761
99	0.4073433896
