iter	Passed	Remaining
0	14	1463
1	28	1372
2	40	1304
3	52	1269
4	65	1249
5	80	1266
6	94	1259
7	109	1260
8	123	1247
9	136	1228
10	150	1217
11	163	1201
12	177	1188
13	191	1178
14	204	1159
15	217	1141
16	230	1126
17	244	1112
18	256	1093
19	288	1153
20	306	1152
21	319	1132
22	334	1118
23	349	1107
24	362	1087
25	376	1070
26	390	1054
27	405	1042
28	419	1027
29	437	1021
30	453	1010
31	466	991
32	482	979
33	498	968
34	514	955
35	530	942
36	544	927
37	558	911
38	572	894
39	586	880
40	600	863
41	614	848
42	627	832
43	642	817
44	656	801
45	670	787
46	682	769
47	696	754
48	709	737
49	721	721
50	736	707
51	750	693
52	765	678
53	778	663
54	793	649
55	807	634
56	821	619
57	835	604
58	848	589
59	863	575
60	876	560
61	890	545
62	903	530
63	917	516
64	931	501
65	944	486
66	959	472
67	971	457
68	985	442
69	1002	429
70	1017	415
71	1030	400
72	1045	386
73	1059	372
74	1073	357
75	1088	343
76	1101	329
77	1115	314
78	1130	300
79	1143	285
80	1158	271
81	1172	257
82	1187	243
83	1201	228
84	1215	214
85	1229	200
86	1242	185
87	1256	171
88	1270	156
89	1287	143
90	1302	128
91	1317	114
92	1332	100
93	1345	85
94	1360	71
95	1375	57
96	1387	42
97	1402	28
98	1417	14
99	1431	0
